Mask Size 0 Mask set() Leakage 0.4912255474440431
Mask Size 1 Mask {'age'} Leakage 0.48390655849303243
Mask Size 1 Mask {'capital_gain'} Leakage 0.44119241053623615
Mask Size 1 Mask {'capital_loss'} Leakage 0.4912255474440431
Mask Size 1 Mask {'class'} Leakage 0.4421302651304688
Mask Size 1 Mask {'education_num'} Leakage 0.46042813003242167
Mask Size 1 Mask {'hours_per_week'} Leakage 0.4912255474440431
Mask Size 1 Mask {'marital_status'} Leakage 0.4912255474440431
Mask Size 1 Mask {'native_country'} Leakage 0.3969281531160326
Mask Size 1 Mask {'occupation'} Leakage 0.4912255474440431
Mask Size 1 Mask {'race'} Leakage 0.4912255474440431
Mask Size 1 Mask {'relationship'} Leakage 0.3876575545157146
Mask Size 1 Mask {'sex'} Leakage 0.2726821726489277
Mask Size 2 Mask {'age', 'capital_gain'} Leakage 0.43736415669853557
Mask Size 2 Mask {'age', 'capital_loss'} Leakage 0.4839317246711282
Mask Size 2 Mask {'age', 'class'} Leakage 0.4341050146386227
Mask Size 2 Mask {'age', 'education_num'} Leakage 0.4527523729267935
Mask Size 2 Mask {'age', 'hours_per_week'} Leakage 0.48392620978159184
Mask Size 2 Mask {'age', 'marital_status'} Leakage 0.48447398909222794
Mask Size 2 Mask {'age', 'native_country'} Leakage 0.38825264639230594
Mask Size 2 Mask {'age', 'occupation'} Leakage 0.48390655849303243
Mask Size 2 Mask {'age', 'race'} Leakage 0.483913191052453
Mask Size 2 Mask {'age', 'relationship'} Leakage 0.3854242869319815
Mask Size 2 Mask {'age', 'sex'} Leakage 0.26384839770732416
Mask Size 2 Mask {'capital_loss', 'capital_gain'} Leakage 0.4509615589922883
Mask Size 2 Mask {'capital_gain', 'class'} Leakage 0.4032957695576078
Mask Size 2 Mask {'capital_gain', 'education_num'} Leakage 0.4104707532910399
Mask Size 2 Mask {'hours_per_week', 'capital_gain'} Leakage 0.45227859648556834
Mask Size 2 Mask {'capital_gain', 'marital_status'} Leakage 0.3840032729145847
Mask Size 2 Mask {'capital_gain', 'native_country'} Leakage 0.38607319087108916
Mask Size 2 Mask {'occupation', 'capital_gain'} Leakage 0.44119241053623615
Mask Size 2 Mask {'capital_gain', 'race'} Leakage 0.4419942753939222
Mask Size 2 Mask {'relationship', 'capital_gain'} Leakage 0.12413500321044513
Mask Size 2 Mask {'capital_gain', 'sex'} Leakage 0.23918590959922814
Mask Size 2 Mask {'capital_loss', 'class'} Leakage 0.4424367964455269
Mask Size 2 Mask {'capital_loss', 'education_num'} Leakage 0.46046277809509195
Mask Size 2 Mask {'hours_per_week', 'capital_loss'} Leakage 0.4912255474440431
Mask Size 2 Mask {'capital_loss', 'marital_status'} Leakage 0.4912255474440431
Mask Size 2 Mask {'capital_loss', 'native_country'} Leakage 0.40027545116798646
Mask Size 2 Mask {'occupation', 'capital_loss'} Leakage 0.4912255474440431
Mask Size 2 Mask {'capital_loss', 'race'} Leakage 0.4912255474440431
Mask Size 2 Mask {'relationship', 'capital_loss'} Leakage 0.38861661219322874
Mask Size 2 Mask {'capital_loss', 'sex'} Leakage 0.27434320827232905
Mask Size 2 Mask {'education_num', 'class'} Leakage 0.40850223977961175
Mask Size 2 Mask {'hours_per_week', 'class'} Leakage 0.44223887901283754
Mask Size 2 Mask {'marital_status', 'class'} Leakage 0.44962268479175194
Mask Size 2 Mask {'native_country', 'class'} Leakage 0.3659163513198489
Mask Size 2 Mask {'occupation', 'class'} Leakage 0.4421302651304688
Mask Size 2 Mask {'race', 'class'} Leakage 0.4422648068725308
Mask Size 2 Mask {'relationship', 'class'} Leakage 0.33767484007115856
Mask Size 2 Mask {'sex', 'class'} Leakage 0.20488153303225753
Mask Size 2 Mask {'hours_per_week', 'education_num'} Leakage 0.4604477303905746
Mask Size 2 Mask {'education_num', 'marital_status'} Leakage 0.46042813003242167
Mask Size 2 Mask {'education_num', 'native_country'} Leakage 0.36047651096201316
Mask Size 2 Mask {'occupation', 'education_num'} Leakage 0.46042813003242167
Mask Size 2 Mask {'education_num', 'race'} Leakage 0.46053677277980687
Mask Size 2 Mask {'relationship', 'education_num'} Leakage 0.35586534552810667
Mask Size 2 Mask {'education_num', 'sex'} Leakage 0.26298439687777797
Mask Size 2 Mask {'hours_per_week', 'marital_status'} Leakage 0.4912255474440431
Mask Size 2 Mask {'hours_per_week', 'native_country'} Leakage 0.3969281531160326
Mask Size 2 Mask {'occupation', 'hours_per_week'} Leakage 0.4912255474440431
Mask Size 2 Mask {'hours_per_week', 'race'} Leakage 0.4912255474440431
Mask Size 2 Mask {'relationship', 'hours_per_week'} Leakage 0.3876575545157146
Mask Size 2 Mask {'hours_per_week', 'sex'} Leakage 0.2726821726489277
Mask Size 2 Mask {'native_country', 'marital_status'} Leakage 0.3979672789901215
Mask Size 2 Mask {'occupation', 'marital_status'} Leakage 0.4912255474440431
Mask Size 2 Mask {'race', 'marital_status'} Leakage 0.4912255474440431
Mask Size 2 Mask {'relationship', 'marital_status'} Leakage 0.2727656282026826
Mask Size 2 Mask {'sex', 'marital_status'} Leakage 0.293584189251586
Mask Size 2 Mask {'occupation', 'native_country'} Leakage 0.3969281531160326
Mask Size 2 Mask {'native_country', 'race'} Leakage 0.39759034718430664
Mask Size 2 Mask {'relationship', 'native_country'} Leakage 0.2907061934465176
Mask Size 2 Mask {'sex', 'native_country'} Leakage 0.13622427654319103
Mask Size 2 Mask {'occupation', 'race'} Leakage 0.4912255474440431
Mask Size 2 Mask {'occupation', 'relationship'} Leakage 0.4074419571733059
Mask Size 2 Mask {'occupation', 'sex'} Leakage 0.27434320827232905
Mask Size 2 Mask {'relationship', 'race'} Leakage 0.3876575545157146
Mask Size 2 Mask {'sex', 'race'} Leakage 0.2726821726489277
Mask Size 2 Mask {'relationship', 'sex'} Leakage 0.2685467517834049
Mask Size 4 Mask {'occupation', 'education_num', 'native_country', 'race'} Leakage 0.3614001805389998
Mask Size 4 Mask {'occupation', 'relationship', 'education_num', 'native_country'} Leakage 0.28003335518126093
Mask Size 4 Mask {'occupation', 'education_num', 'native_country', 'sex'} Leakage 0.13722946436572858
Mask Size 4 Mask {'relationship', 'education_num', 'native_country', 'race'} Leakage 0.25605187423148856
Mask Size 4 Mask {'education_num', 'native_country', 'sex', 'race'} Leakage 0.12817926368373556
Mask Size 4 Mask {'relationship', 'education_num', 'native_country', 'sex'} Leakage 0.12166274703119795
Mask Size 4 Mask {'occupation', 'relationship', 'education_num', 'race'} Leakage 0.3782666066425715
Mask Size 4 Mask {'occupation', 'education_num', 'sex', 'race'} Leakage 0.27179076035102256
Mask Size 4 Mask {'occupation', 'relationship', 'education_num', 'sex'} Leakage 0.24789172212124622
Mask Size 4 Mask {'relationship', 'education_num', 'sex', 'race'} Leakage 0.24364977762456075
Mask Size 4 Mask {'occupation', 'hours_per_week', 'native_country', 'marital_status'} Leakage 0.3981662702724742
Mask Size 4 Mask {'hours_per_week', 'race', 'native_country', 'marital_status'} Leakage 0.398991822300204
Mask Size 4 Mask {'relationship', 'hours_per_week', 'native_country', 'marital_status'} Leakage 0.15401669243403515
Mask Size 4 Mask {'hours_per_week', 'sex', 'native_country', 'marital_status'} Leakage 0.18033667717868718
Mask Size 4 Mask {'occupation', 'hours_per_week', 'race', 'marital_status'} Leakage 0.4912255474440431
Mask Size 4 Mask {'occupation', 'hours_per_week', 'relationship', 'marital_status'} Leakage 0.2730520388636768
Mask Size 4 Mask {'occupation', 'hours_per_week', 'sex', 'marital_status'} Leakage 0.2977387587500798
Mask Size 4 Mask {'relationship', 'hours_per_week', 'race', 'marital_status'} Leakage 0.2727656282026826
Mask Size 4 Mask {'hours_per_week', 'race', 'sex', 'marital_status'} Leakage 0.293584189251586
Mask Size 4 Mask {'relationship', 'hours_per_week', 'sex', 'marital_status'} Leakage 0.26526595252675966
Mask Size 4 Mask {'occupation', 'hours_per_week', 'native_country', 'race'} Leakage 0.3977172235662343
Mask Size 4 Mask {'occupation', 'hours_per_week', 'relationship', 'native_country'} Leakage 0.3142709336608954
Mask Size 4 Mask {'occupation', 'hours_per_week', 'sex', 'native_country'} Leakage 0.13830109979261906
Mask Size 4 Mask {'relationship', 'hours_per_week', 'native_country', 'race'} Leakage 0.2918762805853733
Mask Size 4 Mask {'hours_per_week', 'sex', 'native_country', 'race'} Leakage 0.13697734266305583
Mask Size 4 Mask {'relationship', 'hours_per_week', 'sex', 'native_country'} Leakage 0.15018421774242818
Mask Size 4 Mask {'occupation', 'hours_per_week', 'relationship', 'race'} Leakage 0.4074419571733059
Mask Size 4 Mask {'occupation', 'hours_per_week', 'sex', 'race'} Leakage 0.27434320827232905
Mask Size 4 Mask {'occupation', 'hours_per_week', 'relationship', 'sex'} Leakage 0.26949039822280674
Mask Size 4 Mask {'relationship', 'hours_per_week', 'sex', 'race'} Leakage 0.2685467517834049
Mask Size 4 Mask {'occupation', 'race', 'native_country', 'marital_status'} Leakage 0.3990639089098259
Mask Size 4 Mask {'occupation', 'relationship', 'native_country', 'marital_status'} Leakage 0.15436705398231132
Mask Size 4 Mask {'occupation', 'sex', 'native_country', 'marital_status'} Leakage 0.18557382290516178
Mask Size 4 Mask {'relationship', 'race', 'native_country', 'marital_status'} Leakage 0.15449613739697887
Mask Size 4 Mask {'race', 'native_country', 'sex', 'marital_status'} Leakage 0.18120334037568864
Mask Size 4 Mask {'relationship', 'sex', 'native_country', 'marital_status'} Leakage 0.14483208708327489
Mask Size 4 Mask {'occupation', 'relationship', 'race', 'marital_status'} Leakage 0.2730520388636768
Mask Size 4 Mask {'occupation', 'race', 'sex', 'marital_status'} Leakage 0.2977387587500798
Mask Size 4 Mask {'occupation', 'relationship', 'sex', 'marital_status'} Leakage 0.26532655188922727
Mask Size 4 Mask {'relationship', 'race', 'sex', 'marital_status'} Leakage 0.26526595252675966
Mask Size 4 Mask {'occupation', 'relationship', 'native_country', 'race'} Leakage 0.31534425376123953
Mask Size 4 Mask {'occupation', 'sex', 'native_country', 'race'} Leakage 0.13895147914649764
Mask Size 4 Mask {'occupation', 'relationship', 'sex', 'native_country'} Leakage 0.15159307857800852
Mask Size 4 Mask {'relationship', 'sex', 'native_country', 'race'} Leakage 0.15087167268519208
Mask Size 4 Mask {'occupation', 'relationship', 'sex', 'race'} Leakage 0.26949039822280674
Mask Size 5 Mask {'age', 'capital_gain', 'education_num', 'capital_loss', 'class'} Leakage 0.3761090231271521
Mask Size 5 Mask {'age', 'capital_gain', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.41507927936574285
Mask Size 5 Mask {'age', 'marital_status', 'capital_gain', 'capital_loss', 'class'} Leakage 0.3665370753248537
Mask Size 5 Mask {'age', 'capital_gain', 'native_country', 'capital_loss', 'class'} Leakage 0.35334008665131234
Mask Size 5 Mask {'age', 'occupation', 'capital_gain', 'capital_loss', 'class'} Leakage 0.4059893606822288
Mask Size 5 Mask {'age', 'capital_gain', 'race', 'capital_loss', 'class'} Leakage 0.4117060436878337
Mask Size 5 Mask {'age', 'relationship', 'capital_gain', 'capital_loss', 'class'} Leakage 0.09280617919441592
Mask Size 5 Mask {'age', 'capital_gain', 'capital_loss', 'sex', 'class'} Leakage 0.19956997064823967
Mask Size 5 Mask {'age', 'capital_gain', 'education_num', 'capital_loss', 'hours_per_week'} Leakage 0.42785692679708764
Mask Size 5 Mask {'age', 'marital_status', 'capital_gain', 'education_num', 'capital_loss'} Leakage 0.35521985732675976
Mask Size 5 Mask {'age', 'capital_gain', 'education_num', 'native_country', 'capital_loss'} Leakage 0.35164747117323103
Mask Size 5 Mask {'age', 'occupation', 'capital_gain', 'education_num', 'capital_loss'} Leakage 0.4161141666860022
Mask Size 5 Mask {'age', 'capital_gain', 'education_num', 'race', 'capital_loss'} Leakage 0.43096935930563585
Mask Size 5 Mask {'age', 'relationship', 'capital_gain', 'education_num', 'capital_loss'} Leakage 0.14933251918541213
Mask Size 5 Mask {'age', 'capital_gain', 'education_num', 'capital_loss', 'sex'} Leakage 0.22548189053155332
Mask Size 5 Mask {'age', 'marital_status', 'capital_gain', 'capital_loss', 'hours_per_week'} Leakage 0.39372335734336905
Mask Size 5 Mask {'age', 'capital_gain', 'native_country', 'capital_loss', 'hours_per_week'} Leakage 0.392096700560868
Mask Size 5 Mask {'age', 'occupation', 'capital_gain', 'capital_loss', 'hours_per_week'} Leakage 0.4571709671384917
Mask Size 5 Mask {'age', 'capital_gain', 'race', 'capital_loss', 'hours_per_week'} Leakage 0.4582982242188137
Mask Size 5 Mask {'age', 'relationship', 'capital_gain', 'capital_loss', 'hours_per_week'} Leakage 0.1492770125896845
Mask Size 5 Mask {'age', 'capital_gain', 'capital_loss', 'sex', 'hours_per_week'} Leakage 0.27693229287903065
Mask Size 5 Mask {'age', 'marital_status', 'capital_gain', 'native_country', 'capital_loss'} Leakage 0.3590285348331711
Mask Size 5 Mask {'age', 'marital_status', 'occupation', 'capital_gain', 'capital_loss'} Leakage 0.3873082628897059
Mask Size 5 Mask {'age', 'marital_status', 'capital_gain', 'race', 'capital_loss'} Leakage 0.3942218488000844
Mask Size 5 Mask {'age', 'relationship', 'marital_status', 'capital_gain', 'capital_loss'} Leakage 0.12790900544805084
Mask Size 5 Mask {'age', 'marital_status', 'capital_gain', 'capital_loss', 'sex'} Leakage 0.14170011305956642
Mask Size 5 Mask {'age', 'occupation', 'capital_gain', 'native_country', 'capital_loss'} Leakage 0.3864567761555907
Mask Size 5 Mask {'age', 'capital_gain', 'native_country', 'race', 'capital_loss'} Leakage 0.38939530784782417
Mask Size 5 Mask {'age', 'relationship', 'capital_gain', 'native_country', 'capital_loss'} Leakage 0.08556820839587342
Mask Size 5 Mask {'age', 'capital_gain', 'native_country', 'capital_loss', 'sex'} Leakage 0.16962488383653096
Mask Size 5 Mask {'age', 'occupation', 'capital_gain', 'race', 'capital_loss'} Leakage 0.4536166724207682
Mask Size 5 Mask {'age', 'relationship', 'occupation', 'capital_gain', 'capital_loss'} Leakage 0.13277795551317273
Mask Size 5 Mask {'age', 'occupation', 'capital_gain', 'capital_loss', 'sex'} Leakage 0.26574581136520037
Mask Size 5 Mask {'age', 'relationship', 'capital_gain', 'race', 'capital_loss'} Leakage 0.13195869334351995
Mask Size 5 Mask {'age', 'capital_gain', 'race', 'capital_loss', 'sex'} Leakage 0.27554269632899897
Mask Size 5 Mask {'age', 'relationship', 'capital_gain', 'capital_loss', 'sex'} Leakage 0.12705147625136703
Mask Size 5 Mask {'age', 'capital_gain', 'education_num', 'hours_per_week', 'class'} Leakage 0.3783446700855435
Mask Size 5 Mask {'age', 'marital_status', 'capital_gain', 'education_num', 'class'} Leakage 0.3263409802701105
Mask Size 5 Mask {'age', 'capital_gain', 'education_num', 'native_country', 'class'} Leakage 0.31445386247207985
Mask Size 5 Mask {'age', 'occupation', 'capital_gain', 'education_num', 'class'} Leakage 0.3684979106633287
Mask Size 5 Mask {'age', 'capital_gain', 'education_num', 'race', 'class'} Leakage 0.39394767038319256
Mask Size 5 Mask {'age', 'relationship', 'capital_gain', 'education_num', 'class'} Leakage 0.1290168911086097
Mask Size 5 Mask {'age', 'capital_gain', 'education_num', 'sex', 'class'} Leakage 0.15874005668444224
Mask Size 5 Mask {'age', 'marital_status', 'capital_gain', 'hours_per_week', 'class'} Leakage 0.3656040066117743
Mask Size 5 Mask {'age', 'capital_gain', 'native_country', 'hours_per_week', 'class'} Leakage 0.35195961063790393
Mask Size 5 Mask {'age', 'occupation', 'capital_gain', 'hours_per_week', 'class'} Leakage 0.4068317601251774
Mask Size 5 Mask {'age', 'capital_gain', 'race', 'hours_per_week', 'class'} Leakage 0.40834989422736767
Mask Size 5 Mask {'age', 'relationship', 'capital_gain', 'hours_per_week', 'class'} Leakage 0.10534370258800108
Mask Size 5 Mask {'age', 'capital_gain', 'sex', 'hours_per_week', 'class'} Leakage 0.20018178214830362
Mask Size 5 Mask {'age', 'marital_status', 'capital_gain', 'native_country', 'class'} Leakage 0.3509537825188619
Mask Size 5 Mask {'age', 'marital_status', 'occupation', 'capital_gain', 'class'} Leakage 0.3597265310801968
Mask Size 5 Mask {'age', 'marital_status', 'capital_gain', 'race', 'class'} Leakage 0.36580115948268144
Mask Size 5 Mask {'age', 'relationship', 'marital_status', 'capital_gain', 'class'} Leakage 0.09991465941671684
Mask Size 5 Mask {'age', 'marital_status', 'capital_gain', 'sex', 'class'} Leakage 0.11055679793417184
Mask Size 5 Mask {'age', 'occupation', 'capital_gain', 'native_country', 'class'} Leakage 0.35182606674275363
Mask Size 5 Mask {'age', 'capital_gain', 'native_country', 'race', 'class'} Leakage 0.352846178594482
Mask Size 5 Mask {'age', 'relationship', 'capital_gain', 'native_country', 'class'} Leakage 0.07815228124823725
Mask Size 5 Mask {'age', 'capital_gain', 'native_country', 'sex', 'class'} Leakage 0.10812451844667892
Mask Size 5 Mask {'age', 'occupation', 'capital_gain', 'race', 'class'} Leakage 0.4037876663770563
Mask Size 5 Mask {'age', 'relationship', 'occupation', 'capital_gain', 'class'} Leakage 0.10403539781923299
Mask Size 5 Mask {'age', 'occupation', 'capital_gain', 'sex', 'class'} Leakage 0.19186484142874083
Mask Size 5 Mask {'age', 'relationship', 'capital_gain', 'race', 'class'} Leakage 0.10303301513293184
Mask Size 5 Mask {'age', 'capital_gain', 'race', 'sex', 'class'} Leakage 0.19804762629063688
Mask Size 5 Mask {'age', 'relationship', 'capital_gain', 'sex', 'class'} Leakage 0.09813373571695305
Mask Size 5 Mask {'age', 'marital_status', 'capital_gain', 'education_num', 'hours_per_week'} Leakage 0.35397636512877606
Mask Size 5 Mask {'age', 'capital_gain', 'education_num', 'native_country', 'hours_per_week'} Leakage 0.35178704858929477
Mask Size 5 Mask {'age', 'occupation', 'capital_gain', 'education_num', 'hours_per_week'} Leakage 0.4179615510688919
Mask Size 5 Mask {'age', 'capital_gain', 'education_num', 'race', 'hours_per_week'} Leakage 0.41244427759898794
Mask Size 5 Mask {'age', 'relationship', 'capital_gain', 'education_num', 'hours_per_week'} Leakage 0.1747535323945304
Mask Size 5 Mask {'age', 'capital_gain', 'education_num', 'sex', 'hours_per_week'} Leakage 0.2159808377272735
Mask Size 5 Mask {'age', 'marital_status', 'capital_gain', 'education_num', 'native_country'} Leakage 0.31791184243327486
Mask Size 5 Mask {'age', 'marital_status', 'occupation', 'capital_gain', 'education_num'} Leakage 0.3471990549895235
Mask Size 5 Mask {'age', 'marital_status', 'capital_gain', 'education_num', 'race'} Leakage 0.35535481733863983
Mask Size 5 Mask {'age', 'relationship', 'marital_status', 'capital_gain', 'education_num'} Leakage 0.13566322393255237
Mask Size 5 Mask {'age', 'marital_status', 'capital_gain', 'education_num', 'sex'} Leakage 0.1570963699049629
Mask Size 5 Mask {'age', 'occupation', 'capital_gain', 'education_num', 'native_country'} Leakage 0.34556399316066766
Mask Size 5 Mask {'age', 'capital_gain', 'education_num', 'native_country', 'race'} Leakage 0.35276904938243214
Mask Size 5 Mask {'age', 'relationship', 'capital_gain', 'education_num', 'native_country'} Leakage 0.11637713046318221
Mask Size 5 Mask {'age', 'capital_gain', 'education_num', 'native_country', 'sex'} Leakage 0.11601458356847805
Mask Size 5 Mask {'age', 'occupation', 'capital_gain', 'education_num', 'race'} Leakage 0.419347828435778
Mask Size 5 Mask {'age', 'relationship', 'occupation', 'capital_gain', 'education_num'} Leakage 0.17071724026078372
Mask Size 5 Mask {'age', 'occupation', 'capital_gain', 'education_num', 'sex'} Leakage 0.2098378135419393
Mask Size 5 Mask {'age', 'relationship', 'capital_gain', 'education_num', 'race'} Leakage 0.17582349615110093
Mask Size 5 Mask {'age', 'capital_gain', 'education_num', 'race', 'sex'} Leakage 0.21867852890797146
Mask Size 5 Mask {'age', 'relationship', 'capital_gain', 'education_num', 'sex'} Leakage 0.10866403882826525
Mask Size 5 Mask {'age', 'marital_status', 'capital_gain', 'native_country', 'hours_per_week'} Leakage 0.35741786862038083
Mask Size 5 Mask {'age', 'marital_status', 'occupation', 'capital_gain', 'hours_per_week'} Leakage 0.385159615772814
Mask Size 5 Mask {'age', 'marital_status', 'capital_gain', 'race', 'hours_per_week'} Leakage 0.3914760765943771
Mask Size 5 Mask {'age', 'relationship', 'marital_status', 'capital_gain', 'hours_per_week'} Leakage 0.14874539497092487
Mask Size 5 Mask {'age', 'marital_status', 'capital_gain', 'sex', 'hours_per_week'} Leakage 0.16117119993332818
Mask Size 5 Mask {'age', 'occupation', 'capital_gain', 'native_country', 'hours_per_week'} Leakage 0.3862063970115147
Mask Size 5 Mask {'age', 'capital_gain', 'native_country', 'race', 'hours_per_week'} Leakage 0.38650061055687845
Mask Size 5 Mask {'age', 'relationship', 'capital_gain', 'native_country', 'hours_per_week'} Leakage 0.09577723295175877
Mask Size 5 Mask {'age', 'capital_gain', 'native_country', 'sex', 'hours_per_week'} Leakage 0.16827116710480006
Mask Size 5 Mask {'age', 'occupation', 'capital_gain', 'race', 'hours_per_week'} Leakage 0.4478249698805543
Mask Size 5 Mask {'age', 'relationship', 'occupation', 'capital_gain', 'hours_per_week'} Leakage 0.15331100394826358
Mask Size 5 Mask {'age', 'occupation', 'capital_gain', 'sex', 'hours_per_week'} Leakage 0.26578059786341657
Mask Size 5 Mask {'age', 'relationship', 'capital_gain', 'race', 'hours_per_week'} Leakage 0.14933360185773914
Mask Size 5 Mask {'age', 'capital_gain', 'race', 'sex', 'hours_per_week'} Leakage 0.2608503478221955
Mask Size 5 Mask {'age', 'relationship', 'capital_gain', 'sex', 'hours_per_week'} Leakage 0.1520829083331653
Mask Size 5 Mask {'age', 'marital_status', 'occupation', 'capital_gain', 'native_country'} Leakage 0.35415786814282246
Mask Size 5 Mask {'age', 'marital_status', 'capital_gain', 'native_country', 'race'} Leakage 0.3578141901779558
Mask Size 5 Mask {'age', 'relationship', 'marital_status', 'capital_gain', 'native_country'} Leakage 0.0892536176425478
Mask Size 5 Mask {'age', 'marital_status', 'capital_gain', 'native_country', 'sex'} Leakage 0.09771152548420292
Mask Size 5 Mask {'age', 'marital_status', 'occupation', 'capital_gain', 'race'} Leakage 0.38510831960362535
Mask Size 5 Mask {'age', 'relationship', 'marital_status', 'occupation', 'capital_gain'} Leakage 0.14408945816972307
Mask Size 5 Mask {'age', 'marital_status', 'occupation', 'capital_gain', 'sex'} Leakage 0.14605480088051515
Mask Size 5 Mask {'age', 'relationship', 'marital_status', 'capital_gain', 'race'} Leakage 0.14571267745241812
Mask Size 5 Mask {'age', 'marital_status', 'capital_gain', 'race', 'sex'} Leakage 0.15771331418813317
Mask Size 5 Mask {'age', 'relationship', 'marital_status', 'capital_gain', 'sex'} Leakage 0.13464621823223377
Mask Size 5 Mask {'age', 'occupation', 'capital_gain', 'native_country', 'race'} Leakage 0.3842134356391894
Mask Size 5 Mask {'age', 'relationship', 'occupation', 'capital_gain', 'native_country'} Leakage 0.09560771386523437
Mask Size 5 Mask {'age', 'occupation', 'capital_gain', 'native_country', 'sex'} Leakage 0.16284340461538038
Mask Size 5 Mask {'age', 'relationship', 'capital_gain', 'native_country', 'race'} Leakage 0.09441909968883921
Mask Size 5 Mask {'age', 'capital_gain', 'native_country', 'race', 'sex'} Leakage 0.16736195118196817
Mask Size 5 Mask {'age', 'relationship', 'capital_gain', 'native_country', 'sex'} Leakage 0.08509716424073732
Mask Size 5 Mask {'age', 'relationship', 'occupation', 'capital_gain', 'race'} Leakage 0.1502164671546795
Mask Size 5 Mask {'age', 'occupation', 'capital_gain', 'race', 'sex'} Leakage 0.26212822478028497
Mask Size 5 Mask {'age', 'relationship', 'occupation', 'capital_gain', 'sex'} Leakage 0.13713446592517564
Mask Size 5 Mask {'age', 'relationship', 'capital_gain', 'race', 'sex'} Leakage 0.14854914782691953
Mask Size 5 Mask {'age', 'education_num', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.4023869246021413
Mask Size 5 Mask {'age', 'marital_status', 'education_num', 'capital_loss', 'class'} Leakage 0.40968944988161093
Mask Size 5 Mask {'age', 'education_num', 'native_country', 'capital_loss', 'class'} Leakage 0.3214259095553883
Mask Size 5 Mask {'age', 'occupation', 'education_num', 'capital_loss', 'class'} Leakage 0.4004650894488392
Mask Size 5 Mask {'age', 'education_num', 'race', 'capital_loss', 'class'} Leakage 0.4007718990420466
Mask Size 5 Mask {'age', 'relationship', 'education_num', 'capital_loss', 'class'} Leakage 0.3055245724169803
Mask Size 5 Mask {'age', 'education_num', 'capital_loss', 'sex', 'class'} Leakage 0.1537346098826634
Mask Size 5 Mask {'age', 'marital_status', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.44539319116591236
Mask Size 5 Mask {'age', 'native_country', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.36068099488328764
Mask Size 5 Mask {'age', 'occupation', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.43617289487632716
Mask Size 5 Mask {'age', 'race', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.4364296262157531
Mask Size 5 Mask {'age', 'relationship', 'capital_loss', 'hours_per_week', 'class'} Leakage 0.3453879707541222
Mask Size 5 Mask {'age', 'capital_loss', 'sex', 'hours_per_week', 'class'} Leakage 0.19804167594801592
Mask Size 5 Mask {'age', 'marital_status', 'native_country', 'capital_loss', 'class'} Leakage 0.36678959681341894
Mask Size 5 Mask {'age', 'marital_status', 'occupation', 'capital_loss', 'class'} Leakage 0.44365645345315097
Mask Size 5 Mask {'age', 'marital_status', 'race', 'capital_loss', 'class'} Leakage 0.4435749900851793
Mask Size 5 Mask {'age', 'relationship', 'marital_status', 'capital_loss', 'class'} Leakage 0.1997901347472688
Mask Size 5 Mask {'age', 'marital_status', 'capital_loss', 'sex', 'class'} Leakage 0.23040215903652284
Mask Size 5 Mask {'age', 'occupation', 'native_country', 'capital_loss', 'class'} Leakage 0.35898450242608226
Mask Size 5 Mask {'age', 'native_country', 'race', 'capital_loss', 'class'} Leakage 0.35730144963960986
Mask Size 5 Mask {'age', 'relationship', 'native_country', 'capital_loss', 'class'} Leakage 0.24988012667127812
Mask Size 5 Mask {'age', 'native_country', 'capital_loss', 'sex', 'class'} Leakage 0.08680866269082077
Mask Size 5 Mask {'age', 'occupation', 'race', 'capital_loss', 'class'} Leakage 0.4346102312365626
Mask Size 5 Mask {'age', 'relationship', 'occupation', 'capital_loss', 'class'} Leakage 0.36209662045503344
Mask Size 5 Mask {'age', 'occupation', 'capital_loss', 'sex', 'class'} Leakage 0.20049016717827728
Mask Size 5 Mask {'age', 'relationship', 'race', 'capital_loss', 'class'} Leakage 0.33822227635669844
Mask Size 5 Mask {'age', 'race', 'capital_loss', 'sex', 'class'} Leakage 0.1981743330550546
Mask Size 5 Mask {'age', 'relationship', 'capital_loss', 'sex', 'class'} Leakage 0.19160615037623552
Mask Size 5 Mask {'age', 'marital_status', 'education_num', 'capital_loss', 'hours_per_week'} Leakage 0.45349310657191344
Mask Size 5 Mask {'age', 'education_num', 'native_country', 'capital_loss', 'hours_per_week'} Leakage 0.35555963016508885
Mask Size 5 Mask {'age', 'occupation', 'education_num', 'capital_loss', 'hours_per_week'} Leakage 0.45291785292813735
Mask Size 5 Mask {'age', 'education_num', 'race', 'capital_loss', 'hours_per_week'} Leakage 0.4530642548376266
Mask Size 5 Mask {'age', 'relationship', 'education_num', 'capital_loss', 'hours_per_week'} Leakage 0.3574574423537761
Mask Size 5 Mask {'age', 'education_num', 'capital_loss', 'sex', 'hours_per_week'} Leakage 0.26449317305492737
Mask Size 5 Mask {'age', 'marital_status', 'education_num', 'native_country', 'capital_loss'} Leakage 0.3576075929642579
Mask Size 5 Mask {'age', 'marital_status', 'occupation', 'education_num', 'capital_loss'} Leakage 0.4535639772235156
Mask Size 5 Mask {'age', 'marital_status', 'education_num', 'race', 'capital_loss'} Leakage 0.4537465359830064
